dongCode,dongName,convenience_store,education,caf?,restaurant,health,market,avg_diff_convenience_store,avg_diff_education,avg_diff_caf?,avg_diff_restaurant,avg_diff_health,avg_diff_market,label_id
1123010200,용두동,21,36,50,933,9,10,6,-17,-4,-1312,-2,2,001
1123010300,제기동,24,47,66,1951,12,39,9,-6,12,-294,1,31,006
1123010400,전농동,27,128,101,1722,22,17,12,75,47,-523,11,9,002
1123010500,답십리동,30,89,74,1468,18,13,15,36,20,-777,7,5,002
1123010600,장안동,83,216,159,3031,33,30,68,163,105,786,22,22,004
1123010700,청량리동,8,33,30,774,12,14,-7,-20,-24,-1471,1,6,006
1123010800,회기동,11,24,57,516,10,7,-4,-29,3,-1729,-1,-1,003
1123010900,휘경동,29,62,58,828,15,14,14,9,4,-1417,4,6,001
1123011000,이문동,23,81,65,915,11,10,8,28,11,-1330,0,2,002
1126010100,면목동,85,236,233,3954,43,67,70,183,179,1709,32,59,004
1126010200,상봉동,35,63,82,1383,16,14,20,10,28,-862,5,6,003
1126010300,중화동,32,84,64,1410,15,31,17,31,10,-835,4,23,002
1126010400,묵동,32,98,87,1317,14,22,17,45,33,-928,3,14,002
1126010500,망우동,31,109,106,1881,25,37,16,56,52,-364,14,29,002
1126010600,신내동,23,173,79,1161,17,14,8,120,25,-1084,6,6,002
1129010100,성북동,9,14,53,346,4,6,-6,-39,-1,-1899,-7,-2,NULL
1129010200,성북동1가,5,4,12,93,2,0,-10,-49,-42,-2152,-9,-8,NULL
1129010300,돈암동,9,98,23,485,3,9,-6,45,-31,-1760,-8,1,002
1129010400,동소문동1가,5,9,8,86,2,1,-10,-44,-46,-2159,-9,-7,NULL
1129010500,동소문동2가,1,5,10,91,2,1,-14,-48,-44,-2154,-9,-7,NULL
1129010600,동소문동3가,2,11,4,45,2,1,-13,-42,-50,-2200,-9,-7,NULL
1129010700,동소문동4가,3,22,6,113,2,2,-12,-31,-48,-2132,-9,-6,NULL
1129010800,동소문동5가,4,8,7,201,3,2,-11,-45,-47,-2044,-8,-6,NULL
1129010900,동소문동6가,2,20,6,122,6,1,-13,-33,-48,-2123,-5,-7,NULL
1129011000,동소문동7가,1,13,5,58,0,0,-14,-40,-49,-2187,-11,-8,NULL
